Model, Serial Number, Calibration Data, Location, Description
9DP, 25019647, 08/18/24, Accelerator Lab, Portable Ion Chamber
9DP, 25024335, 08/18/24, Accelerator Lab, Portable Ion Chamber
2363, 332393, 08/23/24, Accelerator Lab, Geiger Muller Counter
42-41L, PR385342, 08/23/24, Accelerator Lab, Proportional Neutron Counter on 2363
23, D191938, 08/30/24, Accelerator Lab, Personal Electric Dosimeter
23, D191997, 08/30/24, Accelerator Lab, Personal Electric Dosimeter
23, D191943, 08/30/24, Accelerator Lab, Personal Electric Dosimeter
375DUAL 44-2, PR393130, 12/09/24, Accelerator Lab, Area Gamma Detector
375DUAL 42-30H, PR392238, 12/09/24, Accelerator Lab, Area Neutron Detector
